"cellcode","frac_1","frac_2","frac_3","frac_4","frac_5","frac_6","frac_7","frac_8","frac_9","frac_10","frac_11","frac_12","frac_13","frac_14","frac_15","frac_16","frac_17","frac_18","frac_19","frac_20","frac_21","frac_22","frac_23","frac_24","frac_25","frac_26","frac_27","frac_28","frac_29","frac_30","frac_31","frac_32","frac_33","frac_34","frac_35","frac_36","frac_37","frac_38","frac_39","frac_40","frac_41","frac_42","frac_43","frac_44","frac_48","frac_128"
"50kmE260N110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50kmE285N120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50kmE285N125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50kmE640N135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50kmE435N140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"50kmE470N140",0.00164799997583032,0.0211999993771315,0.00299199996516109,0,0.00107200001366436,0.00164000003132969,0.0011680000461638,0.000260000000707805,0.000108000000182074,0.000684000027831644,0.000771999999415129,0.00146000005770475,0,0,0.000199999994947575,0,0,0,0,0.0037760001141578,0.0448919981718063,0,0,0.000264000002061948,0.000560000014957041,0,0,0.0137440003454685,0,0,0,0.00285600009374321,0,0,0,0,0,0.000108000000182074,0,0,0,0,0,0.768487989902496,0,0.132108002901077
"50kmE575N145",0.000352000002749264,0.00387599994428456,0.00110800005495548,0.000112000001536217,0,0,0.000515999970957637,0,0,0,0.000723999983165413,0.000132000001030974,0.00666800001636147,0,0.00282800011336803,0,0.0928120017051697,0.00124400004278868,0,0.0196119993925095,0.022444000467658,0,0,0.00601600017398596,0,0.0572119988501072,0,0.1041119992733,0.0166919995099306,0,0.000444000004790723,0.0129239996895194,0.0006520000169985,0,0,0,0,0,0,0,0.000391999987186864,0,0,0.648728013038635,0,0.00039999998989515
"50kmE635N155",0,0.00251600006595254,1.95577736999091e-16,0.000251999997999519,0,0.00152799999341369,0,0,0,0,0.00196800008416176,0.0011399999493733,0.000288000010186806,0,0.00262799998745322,0.00133200001437217,0,0,0,0.00955200009047985,0.000991999986581504,0,0.000180000002728775,0,0,0,0,0.0130920000374317,0.000103999998827931,0,0.000372000009519979,0.00271599995903671,0,0,0,0,0,0,0,0,0,0,0,0.51776397228241,0,0.443576008081436
"50kmE640N155",0,0.000508000026457012,0.0013279999839142,0,0,0.00142400001641363,0,0,0,0,0.000315999990561977,0,0,0,0,0.000975999981164932,0,0,0,0,0,0,0,0,0,0,0,0.00626000016927719,0,0.00225999997928739,0,0.000487999990582466,0,0,7.45058055164314e-17,0,0.00201199995353818,0,0,0,0,0,0,0.50602799654007,0,0.478399991989136
"50kmE630N160",0,0,0,0,0,0,0,0,0,0,0,0.000984000042080879,0,0,0,0,0,0,0.000644000014290214,8.80000006873161e-05,1.20000004244503e-05,0,0,0.00886799953877926,0,0.000403999991249293,0,0.00871600024402142,0,0.000904000014998019,0,0.0044999998062849,0,0,0,0,0,0,0,0,0,0,0,0.562088012695312,0,0.41279199719429
"50kmE635N160",0.000108000000182074,0.0286999996751547,0.00264400010928512,0.000112000001536217,0,0,0.00247199996374547,0.000331999995978549,0.00011600000289036,0,0.00479200016707182,0.0850680023431778,0.00357199995778501,0,0.046840000897646,0.0185720007866621,0.00214400002732873,0.00123599998187274,0.0382120013237,0.0608800016343594,0.0447079986333847,0,0.00022000000171829,0.284900009632111,0,0.0390600003302097,0.00015999999595806,0.133883997797966,0.0518839992582798,0.00303600006736815,0,0.00570000009611249,0.000612000003457069,0,0,0,0,0,0,0,0.0027560000307858,0,0,0.137280002236366,0,0
"50kmE640N160",0.00014000000373926,0.0425399988889694,0.00609199982136488,0.000500000023748726,0.000628000008873641,0,0.0056679998524487,0,0.00106399995274842,0,0.00350399990566075,0.0231839995831251,0.00975999981164932,0,0.00716000003740191,0.0165040008723736,0.0122959995642304,0.00011600000289036,0.0403160005807877,0.0807359963655472,0.0662439987063408,0,0.00110400002449751,0.212027996778488,0.000944000028539449,0.00466800015419722,0.000668000022415072,0.181667998433113,0.0483519993722439,0.00372399995103478,0.00014000000373926,0.00765200005844235,0.00640799989923835,0,0.000508000026457012,0,0.0027560000307858,0,0,0,0.00359599990770221,0,0,0.209332004189491,0,0
"50kmE645N160",0.000303999986499548,0.00776399997994304,0.00138399994466454,0.000108000000182074,0,0.00150000001303852,0.00022000000171829,0,9.99999974737875e-05,0.000899999984540045,0.000747999991290271,0.0266759991645813,0.0166880004107952,0,0,0.00166399998124689,0.00120000005699694,0,0.0072400001809001,0.0121839996427298,0.00254400004632771,0,0,0.00270400010049343,0,0.000768000027164817,0,0.0201280005276203,0.00139999995008111,0,0,0.00426799990236759,0,0,0,0,0.00313200009986758,0,0,0,0,0,0,0.573332011699677,0,0.313044011592865
"50kmE650N160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538079999387264,0,0.946192026138306
